date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
1994-01-31,1994,1,Triple Sort static (no TC),0.016864770008038772,0.0,0.0,0.0,0.016864770008038772
1994-02-28,1994,2,Triple Sort static (no TC),0.025205068172080746,0.0,0.0,0.0,0.025205068172080746
1994-03-31,1994,3,Triple Sort static (no TC),0.027099560393056676,0.0,0.0,0.0,0.027099560393056676
1994-04-30,1994,4,Triple Sort static (no TC),-0.013518242612946955,0.0,0.0,0.0,-0.013518242612946955
1994-05-31,1994,5,Triple Sort static (no TC),0.02148664505441577,0.0,0.0,0.0,0.02148664505441577
1994-06-30,1994,6,Triple Sort static (no TC),0.011532734893433039,0.0,0.0,0.0,0.011532734893433039
1994-07-31,1994,7,Triple Sort static (no TC),0.008333019503186281,0.0,0.0,0.0,0.008333019503186281
1994-08-31,1994,8,Triple Sort static (no TC),0.036611275900655514,0.0,0.0,0.0,0.036611275900655514
1994-09-30,1994,9,Triple Sort static (no TC),-0.008660853055983804,0.0,0.0,0.0,-0.008660853055983804
1994-10-31,1994,10,Triple Sort static (no TC),0.00849050089207301,0.0,0.0,0.0,0.00849050089207301
1994-11-30,1994,11,Triple Sort static (no TC),-0.025724409838240165,0.0,0.0,0.0,-0.025724409838240165
1994-12-31,1994,12,Triple Sort static (no TC),0.012387669219890889,0.0,0.0,0.0,0.012387669219890889
1995-01-31,1995,1,Triple Sort static (no TC),0.028046800088575893,0.0,0.0,0.0,0.028046800088575893
1995-02-28,1995,2,Triple Sort static (no TC),-0.02920340012464661,0.0,0.0,0.0,-0.02920340012464661
1995-03-31,1995,3,Triple Sort static (no TC),-0.0450759063999944,0.0,0.0,0.0,-0.0450759063999944
1995-04-30,1995,4,Triple Sort static (no TC),0.013005881157299195,0.0,0.0,0.0,0.013005881157299195
1995-05-31,1995,5,Triple Sort static (no TC),-0.011746770101842337,0.0,0.0,0.0,-0.011746770101842337
1995-06-30,1995,6,Triple Sort static (no TC),-0.02792778296819691,0.0,0.0,0.0,-0.02792778296819691
1995-07-31,1995,7,Triple Sort static (no TC),0.028062855468276103,0.0,0.0,0.0,0.028062855468276103
1995-08-31,1995,8,Triple Sort static (no TC),0.03318271464482987,0.0,0.0,0.0,0.03318271464482987
1995-09-30,1995,9,Triple Sort static (no TC),-0.014885856548614011,0.0,0.0,0.0,-0.014885856548614011
1995-10-31,1995,10,Triple Sort static (no TC),0.01168815043835352,0.0,0.0,0.0,0.01168815043835352
1995-11-30,1995,11,Triple Sort static (no TC),-0.040833783144849985,0.0,0.0,0.0,-0.040833783144849985
1995-12-31,1995,12,Triple Sort static (no TC),0.003922055927028267,0.0,0.0,0.0,0.003922055927028267
1996-01-31,1996,1,Triple Sort static (no TC),0.016415111226758348,0.0,0.0,0.0,0.016415111226758348
1996-02-29,1996,2,Triple Sort static (no TC),0.0354667800491119,0.0,0.0,0.0,0.0354667800491119
1996-03-31,1996,3,Triple Sort static (no TC),0.02399783057732691,0.0,0.0,0.0,0.02399783057732691
1996-04-30,1996,4,Triple Sort static (no TC),0.02076152911021399,0.0,0.0,0.0,0.02076152911021399
1996-05-31,1996,5,Triple Sort static (no TC),0.03280043582604786,0.0,0.0,0.0,0.03280043582604786
1996-06-30,1996,6,Triple Sort static (no TC),0.02232944404764361,0.0,0.0,0.0,0.02232944404764361
1996-07-31,1996,7,Triple Sort static (no TC),0.0401973788239846,0.0,0.0,0.0,0.0401973788239846
1996-08-31,1996,8,Triple Sort static (no TC),0.00831467208108189,0.0,0.0,0.0,0.00831467208108189
1996-09-30,1996,9,Triple Sort static (no TC),0.028559052403262588,0.0,0.0,0.0,0.028559052403262588
1996-10-31,1996,10,Triple Sort static (no TC),-0.017482789092478995,0.0,0.0,0.0,-0.017482789092478995
1996-11-30,1996,11,Triple Sort static (no TC),0.04384617038205801,0.0,0.0,0.0,0.04384617038205801
1996-12-31,1996,12,Triple Sort static (no TC),0.016987057735171077,0.0,0.0,0.0,0.016987057735171077
1997-01-31,1997,1,Triple Sort static (no TC),0.015767640782032355,0.0,0.0,0.0,0.015767640782032355
1997-02-28,1997,2,Triple Sort static (no TC),0.00966301740995218,0.0,0.0,0.0,0.00966301740995218
1997-03-31,1997,3,Triple Sort static (no TC),0.020747318383519276,0.0,0.0,0.0,0.020747318383519276
1997-04-30,1997,4,Triple Sort static (no TC),0.016551569621259116,0.0,0.0,0.0,0.016551569621259116
1997-05-31,1997,5,Triple Sort static (no TC),0.02329064876556039,0.0,0.0,0.0,0.02329064876556039
1997-06-30,1997,6,Triple Sort static (no TC),-0.013499413854575261,0.0,0.0,0.0,-0.013499413854575261
1997-07-31,1997,7,Triple Sort static (no TC),-0.052246184949466916,0.0,0.0,0.0,-0.052246184949466916
1997-08-31,1997,8,Triple Sort static (no TC),0.03386383763744661,0.0,0.0,0.0,0.03386383763744661
1997-09-30,1997,9,Triple Sort static (no TC),0.030600689736722267,0.0,0.0,0.0,0.030600689736722267
1997-10-31,1997,10,Triple Sort static (no TC),0.023262989659831826,0.0,0.0,0.0,0.023262989659831826
1997-11-30,1997,11,Triple Sort static (no TC),0.053702131650165796,0.0,0.0,0.0,0.053702131650165796
1997-12-31,1997,12,Triple Sort static (no TC),-0.006254151534462149,0.0,0.0,0.0,-0.006254151534462149
1998-01-31,1998,1,Triple Sort static (no TC),0.03431840874597507,0.0,0.0,0.0,0.03431840874597507
1998-02-28,1998,2,Triple Sort static (no TC),0.005674426440186991,0.0,0.0,0.0,0.005674426440186991
1998-03-31,1998,3,Triple Sort static (no TC),-0.025685278351706135,0.0,0.0,0.0,-0.025685278351706135
1998-04-30,1998,4,Triple Sort static (no TC),0.011241943179406055,0.0,0.0,0.0,0.011241943179406055
1998-05-31,1998,5,Triple Sort static (no TC),0.07158175012355156,0.0,0.0,0.0,0.07158175012355156
1998-06-30,1998,6,Triple Sort static (no TC),0.044145742050353175,0.0,0.0,0.0,0.044145742050353175
1998-07-31,1998,7,Triple Sort static (no TC),0.06758053072820394,0.0,0.0,0.0,0.06758053072820394
1998-08-31,1998,8,Triple Sort static (no TC),-0.03521222521375179,0.0,0.0,0.0,-0.03521222521375179
1998-09-30,1998,9,Triple Sort static (no TC),0.05713978553399554,0.0,0.0,0.0,0.05713978553399554
1998-10-31,1998,10,Triple Sort static (no TC),-0.04041782275474071,0.0,0.0,0.0,-0.04041782275474071
1998-11-30,1998,11,Triple Sort static (no TC),0.026260664892501038,0.0,0.0,0.0,0.026260664892501038
1998-12-31,1998,12,Triple Sort static (no TC),0.008302866344885355,0.0,0.0,0.0,0.008302866344885355
1999-01-31,1999,1,Triple Sort static (no TC),-0.01248709821458124,0.0,0.0,0.0,-0.01248709821458124
1999-02-28,1999,2,Triple Sort static (no TC),0.06233693276550966,0.0,0.0,0.0,0.06233693276550966
1999-03-31,1999,3,Triple Sort static (no TC),0.04480256667024662,0.0,0.0,0.0,0.04480256667024662
1999-04-30,1999,4,Triple Sort static (no TC),0.009641274154311489,0.0,0.0,0.0,0.009641274154311489
1999-05-31,1999,5,Triple Sort static (no TC),-0.028329332633990043,0.0,0.0,0.0,-0.028329332633990043
1999-06-30,1999,6,Triple Sort static (no TC),0.009136786275043907,0.0,0.0,0.0,0.009136786275043907
1999-07-31,1999,7,Triple Sort static (no TC),-0.03167102413034167,0.0,0.0,0.0,-0.03167102413034167
1999-08-31,1999,8,Triple Sort static (no TC),-0.15459966485164978,0.0,0.0,0.0,-0.15459966485164978
1999-09-30,1999,9,Triple Sort static (no TC),0.056101610681465006,0.0,0.0,0.0,0.056101610681465006
1999-10-31,1999,10,Triple Sort static (no TC),0.07783172084675401,0.0,0.0,0.0,0.07783172084675401
1999-11-30,1999,11,Triple Sort static (no TC),0.05637749477529345,0.0,0.0,0.0,0.05637749477529345
1999-12-31,1999,12,Triple Sort static (no TC),0.062069512141671446,0.0,0.0,0.0,0.062069512141671446
2000-01-31,2000,1,Triple Sort static (no TC),0.010263360120067865,0.0,0.0,0.0,0.010263360120067865
2000-02-29,2000,2,Triple Sort static (no TC),-0.02491802552879511,0.0,0.0,0.0,-0.02491802552879511
2000-03-31,2000,3,Triple Sort static (no TC),0.03502333034160434,0.0,0.0,0.0,0.03502333034160434
2000-04-30,2000,4,Triple Sort static (no TC),0.046144364207957346,0.0,0.0,0.0,0.046144364207957346
2000-05-31,2000,5,Triple Sort static (no TC),-0.0013424868008737074,0.0,0.0,0.0,-0.0013424868008737074
2000-06-30,2000,6,Triple Sort static (no TC),0.03857435838724483,0.0,0.0,0.0,0.03857435838724483
2000-07-31,2000,7,Triple Sort static (no TC),-0.0192405760980157,0.0,0.0,0.0,-0.0192405760980157
2000-08-31,2000,8,Triple Sort static (no TC),-0.0209438269023839,0.0,0.0,0.0,-0.0209438269023839
2000-09-30,2000,9,Triple Sort static (no TC),-0.04091250664394982,0.0,0.0,0.0,-0.04091250664394982
2000-10-31,2000,10,Triple Sort static (no TC),0.036214532164145226,0.0,0.0,0.0,0.036214532164145226
2000-11-30,2000,11,Triple Sort static (no TC),0.03942451225280333,0.0,0.0,0.0,0.03942451225280333
2000-12-31,2000,12,Triple Sort static (no TC),0.05751728130377423,0.0,0.0,0.0,0.05751728130377423
2001-01-31,2001,1,Triple Sort static (no TC),-0.028796929485388242,0.0,0.0,0.0,-0.028796929485388242
2001-02-28,2001,2,Triple Sort static (no TC),0.03866559375372882,0.0,0.0,0.0,0.03866559375372882
2001-03-31,2001,3,Triple Sort static (no TC),0.0518977609991341,0.0,0.0,0.0,0.0518977609991341
2001-04-30,2001,4,Triple Sort static (no TC),-0.02681035590012513,0.0,0.0,0.0,-0.02681035590012513
2001-05-31,2001,5,Triple Sort static (no TC),-0.029528945581917147,0.0,0.0,0.0,-0.029528945581917147
2001-06-30,2001,6,Triple Sort static (no TC),0.019828030609294844,0.0,0.0,0.0,0.019828030609294844
2001-07-31,2001,7,Triple Sort static (no TC),-0.0034797813321848546,0.0,0.0,0.0,-0.0034797813321848546
2001-08-31,2001,8,Triple Sort static (no TC),0.06057124509095841,0.0,0.0,0.0,0.06057124509095841
2001-09-30,2001,9,Triple Sort static (no TC),-0.03789963811740991,0.0,0.0,0.0,-0.03789963811740991
2001-10-31,2001,10,Triple Sort static (no TC),-0.02428390369348451,0.0,0.0,0.0,-0.02428390369348451
2001-11-30,2001,11,Triple Sort static (no TC),-0.0570197557739295,0.0,0.0,0.0,-0.0570197557739295
2001-12-31,2001,12,Triple Sort static (no TC),0.053203024266479645,0.0,0.0,0.0,0.053203024266479645
2002-01-31,2002,1,Triple Sort static (no TC),0.036963065767025426,0.0,0.0,0.0,0.036963065767025426
2002-02-28,2002,2,Triple Sort static (no TC),-0.04754165165925675,0.0,0.0,0.0,-0.04754165165925675
2002-03-31,2002,3,Triple Sort static (no TC),-0.033634002913778535,0.0,0.0,0.0,-0.033634002913778535
2002-04-30,2002,4,Triple Sort static (no TC),0.06248427631153065,0.0,0.0,0.0,0.06248427631153065
2002-05-31,2002,5,Triple Sort static (no TC),0.017594849849377113,0.0,0.0,0.0,0.017594849849377113
2002-06-30,2002,6,Triple Sort static (no TC),-0.042297402394699896,0.0,0.0,0.0,-0.042297402394699896
2002-07-31,2002,7,Triple Sort static (no TC),-0.019144370290068408,0.0,0.0,0.0,-0.019144370290068408
2002-08-31,2002,8,Triple Sort static (no TC),-0.03758021173266729,0.0,0.0,0.0,-0.03758021173266729
2002-09-30,2002,9,Triple Sort static (no TC),-0.08760975522259443,0.0,0.0,0.0,-0.08760975522259443
2002-10-31,2002,10,Triple Sort static (no TC),0.01480649511755754,0.0,0.0,0.0,0.01480649511755754
2002-11-30,2002,11,Triple Sort static (no TC),0.0720370004798553,0.0,0.0,0.0,0.0720370004798553
2002-12-31,2002,12,Triple Sort static (no TC),0.02979735237973422,0.0,0.0,0.0,0.02979735237973422
2003-01-31,2003,1,Triple Sort static (no TC),0.005485523340302846,0.0,0.0,0.0,0.005485523340302846
2003-02-28,2003,2,Triple Sort static (no TC),0.00021605604091830358,0.0,0.0,0.0,0.00021605604091830358
2003-03-31,2003,3,Triple Sort static (no TC),0.051244273167763935,0.0,0.0,0.0,0.051244273167763935
2003-04-30,2003,4,Triple Sort static (no TC),-0.013995222159991964,0.0,0.0,0.0,-0.013995222159991964
2003-05-31,2003,5,Triple Sort static (no TC),-0.003451309643465304,0.0,0.0,0.0,-0.003451309643465304
2003-06-30,2003,6,Triple Sort static (no TC),-0.05964734510845723,0.0,0.0,0.0,-0.05964734510845723
2003-07-31,2003,7,Triple Sort static (no TC),-0.08957125788007977,0.0,0.0,0.0,-0.08957125788007977
2003-08-31,2003,8,Triple Sort static (no TC),0.0028239087296412523,0.0,0.0,0.0,0.0028239087296412523
2003-09-30,2003,9,Triple Sort static (no TC),-0.11221507384679541,0.0,0.0,0.0,-0.11221507384679541
2003-10-31,2003,10,Triple Sort static (no TC),0.07840013954337645,0.0,0.0,0.0,0.07840013954337645
2003-11-30,2003,11,Triple Sort static (no TC),0.1001907069863568,0.0,0.0,0.0,0.1001907069863568
2003-12-31,2003,12,Triple Sort static (no TC),-0.07049540613966404,0.0,0.0,0.0,-0.07049540613966404
2004-01-31,2004,1,Triple Sort static (no TC),-0.019579452695550875,0.0,0.0,0.0,-0.019579452695550875
2004-02-29,2004,2,Triple Sort static (no TC),-0.006676355518259087,0.0,0.0,0.0,-0.006676355518259087
2004-03-31,2004,3,Triple Sort static (no TC),-0.015513781145962463,0.0,0.0,0.0,-0.015513781145962463
2004-04-30,2004,4,Triple Sort static (no TC),0.0914593772575225,0.0,0.0,0.0,0.0914593772575225
2004-05-31,2004,5,Triple Sort static (no TC),0.082395159269422,0.0,0.0,0.0,0.082395159269422
2004-06-30,2004,6,Triple Sort static (no TC),0.014979877156154123,0.0,0.0,0.0,0.014979877156154123
2004-07-31,2004,7,Triple Sort static (no TC),0.039496550025345495,0.0,0.0,0.0,0.039496550025345495
2004-08-31,2004,8,Triple Sort static (no TC),0.057817454994775516,0.0,0.0,0.0,0.057817454994775516
2004-09-30,2004,9,Triple Sort static (no TC),-0.02076528867320562,0.0,0.0,0.0,-0.02076528867320562
2004-10-31,2004,10,Triple Sort static (no TC),0.07919501637002076,0.0,0.0,0.0,0.07919501637002076
2004-11-30,2004,11,Triple Sort static (no TC),0.029266055830439036,0.0,0.0,0.0,0.029266055830439036
2004-12-31,2004,12,Triple Sort static (no TC),0.044684576897595356,0.0,0.0,0.0,0.044684576897595356
2005-01-31,2005,1,Triple Sort static (no TC),0.021808651898005696,0.0,0.0,0.0,0.021808651898005696
2005-02-28,2005,2,Triple Sort static (no TC),0.007012500736532851,0.0,0.0,0.0,0.007012500736532851
2005-03-31,2005,3,Triple Sort static (no TC),-0.01044309801928237,0.0,0.0,0.0,-0.01044309801928237
2005-04-30,2005,4,Triple Sort static (no TC),-0.043858215634975446,0.0,0.0,0.0,-0.043858215634975446
2005-05-31,2005,5,Triple Sort static (no TC),0.023422300409756677,0.0,0.0,0.0,0.023422300409756677
